Цитата №;Дата;Цитата;Рейтинг
Цитата #17160; 13 ноября 2010 ;ХХХ: ты мне какой та паленный офис скинул, у мну там ни один файл не открываеца (((ууу: а расширение файлов какое?ххх: docxyyy: ты в 2007-ом их что-ли делала?ххх: нет вчера;1190
Цитата #11064; 22 января 2010 ;Она: расскажи мне сказку на ночьОн: зай, я сам одна сплошная сказкаОна: даже не знаю, как спросить: а конец у тебя плохой или хороший?;1175
Цитата #565; 15 декабря 2007 ;"ZZZ ну а опиши как они внешне! она точнее. ты ее на кофе вытаскивал?ХХХ Митя, я ни в чём не уверен, я был пьян в жопу. Нет, мы в компании случайно встретилисьZZZ :-D внешне то что собой представляет?ХХХ Одно могу сказать точно. Она не отталкивающая и опрятная. На крепкую 4 по 5 балльной. Ну и показалось, что домашняяZZZ как колбаса… знаешь Женя, это все говорит о том, что НЕ ДАСТХХХ Но есть одно ""НО""ZZZ какое но? у нее член?ХХХ Нет. Хуже. По состоянию на вчерашний день она не читала ""Братья Карамазовы""ZZZ Брат, не хочу тебя расстраивать.....может ты отвернешься от меня после моих слов....НОЯ ТОЖЕ НИ ХУЯ НЕ ЧИТАЛ! КАРАМАЗОВЫХХХХ Митя, я тебя никада, слышишь, никада ебать не собирался";1167
Цитата #17469; 28 ноября 2010 ;"<DeadMoroz> На работе ситуация понравилась сегодня... Зашли парень с девушкой, увидели нетбук... Девушка произносит ""Ой, какой маленький, совсем как у тебя..."" Еле сдержалсо, чтобы не заржать...";1151
Цитата #326; 26 октября 2008 ;Молодая парочка сидит в кинотеатре на последнем ряду. Он:- Мань, мы уже тут целый час сидим, а ты меня даже еще ни разу не поцеловала.- Вань, я же только что сделала тебе минет!- Мне???;1150
Цитата #15925; 23 сентября 2010 ;"Сегодня наша юристка подходит к принтеру, он не печатает.- Посмотрите принтер, он что-то не печатает - говорит мне.- Что-нибудь пишет на дисплее?- Да - говорит - ""Загр. бумагу"". ЗАГРЫЗЛО БУМАГУ кажется...";1150
Цитата #369; 6 декабря 2007 ;"Lexus: ...А я вот не могу покупать этот вкусный копченый сыр в косичках...=ZDR=: Чего это?Lexus: Не, я, конечно, могу... только он, зараза, когда в рюкзаке потом лежит, шепчет оттуда, тихонько так: ""Остановись у ларьков, купи пива, давай же, купи пива!..""=ZDR=: ты РАЗГОВАРИВАЕШЬ с СЫРОМ??! о_ОLexus: Дебил что ли? каким нужно быть придурком, чтоб разговаривать с сыром! Я его игнорирую...:)";1147
Цитата #18034; 23 декабря 2010 ;xxx: и что, взяли тебя?yyy: конечно. такие спецы, как я, на дороге не валяются!xxx: ну да, а в прошлые выходные? )))yyy: ДА ВЫ ЗАЕБАЛИ УЖЕ ВСЕ!!!;1141
Цитата #11555; 16 февраля 2010 ;xxx: Я две недели кошку наказывал за лужи в туалете, а оказалось - бачок протекает (;1136
Цитата #10784; 4 января 2010 ;Sidor: вчера какой-то пьяный парень у меня попросил рубль, я ему дал 5 рублей, а он сказал, что я отличный парень и дал 40 рублей;1132
Цитата #15988; 27 сентября 2010 ;Хап: Отличия русского и европейца.Когда все нормально, европеец спокойно и хорошо работает, а когда все идет через жопу - паникует.Когда все идет через жопу - русский мобилизуется и делает невозможное. Когда все хорошо - русский страдает хуйней.;1120
Цитата #17153; 13 ноября 2010 ;xxx: она вчера второй знак прилепила :-Dxxx: ну желтый восклицательныйyyy: зачем второй то?xxx: ей показалось, что окружающие водители недооценивают угрозу;1120
Цитата #16038; 29 сентября 2010 ;roman : есть юристы знакомые толковые?S_Style : какое право интересует?roman : конфликты с работодателем - это какое право?S_Style : крепостное;1116
Цитата #968; 26 августа 2008 ;захожу в супермаркет краем уха слышу диалог тетки и охранникаТ:Слушай а как к вам на работу в охранное агнство устроится?О:В смысле?Т:ну там есть какие то критерии отбора или нету?О:А вы че хотите охранником устроится?Т:НЕТ МНЕ ПРОСТО ИНТЕРЕСНО КАК ТАКОГО МУДАКА КАК ТЫ НА РАБОТУ ВЗЯЛИ!;1114
Цитата #17731; 10 декабря 2010 ;Суровые российские монтажники: получили задание от начальника установить лампу освещения на входе в здание с автоматом выключения. Есть такие, вырубающие ток в светлое время суток. Собрали, подключили, а так как на дворе светлый день, то проверка прошла на ура. Закрыли датчик шапкой - темно. Лампа включается. Сняли шапку с датчика - светло. Лампа выключается. И с чувством выполненного долга ушли домой. Самый цирк начался поздно вечером, потому что датчик монтажники закрепили прямо над лампой. Всю ночь у дежурного была дискотека: стемнело - датчик лампу зажег, лампа зажглась и стало светло, а стало светло - датчик лампу гасит, ой опять темно - датчик лампу зажигает .... и так от заката до рассвета.;1113
Цитата #10946; 15 января 2010 ;xxx: смотрю на коллегуxxx: стоит, наливает чай, кружку под наклоном держитxxx: наверно, чтоб не пенилось...xxx: хорошо человек отдохнул %);1106
Цитата #14526; 19 июля 2010 ;Arsis: щас вот посмотрел на клавишу Q на клавеArsis: очень интересная клавиша :)Arsis: 2 буквы, а какой смысл;1105
Цитата #32976; 29 августа 2012 ;"xxx: Родители уехали в Италию. Каждый день пишут письма. Сегодняшнее подписано: ""С приветом из Ватикана. Целую. Папа""";1105
Цитата #16096; 1 октября 2010 ;ххх: вот скажи честно что ты ко мне испытываешь?ууу: Терпение.;1100
Цитата #10388; 10 декабря 2009 ;"Малышка: сегодня он упал передо мной на колени =)Малышка: и громко сказалМалышка: ""ёбаный лёд!"" (";1097
Цитата #20410; 11 апреля 2011 ;xxx: Костя ты любишь свою работу?yyy: Мы любим свою работу!yyy: Труд есть дорога к благоденствиюzzz: боишься, что сисадмин шпионит?yyy: сисадмин не шпионит ОН САМЫЙ ЗАМЕЧАТЕЛЬНЫЙ ЧЕЛОВЕК В МИРЕ, КРАСОТА И УМ КОТОРОГО УСТУПАЮТ ЛИШЬ БОГАМ ОЛИМПА;1095
Цитата #28883; 30 марта 2012 ;"Мальвина:Была с мужем в автосервисе. До сих пор под впечатлением!Подходит работник сервиса и без слов (кивком) интересуется ""Чё?"", муж: ""Да жопа ваще..."" и показывает пальцем на какую-то штучку. Работник сервиса склонился и смотрит. Из противоположного конца зала, другой работник сервиса, прокуренным голосом интересуется у первого: ""Чё там?"". Этот ему в ответ: ""Ну тут такая же хуйня, как и та хуйня *кивок в сторону другой машины*, только тут ваще пиздец."" с того конца зала ему отвечают: ""А-а-а-а... Ну, это тогда всю эту поебень целиком менять нахуй..."" И даже муж мой ""в теме"", на одной волне с ними, а я в шоке, потому, что не понимаю, как они все друг друга понимают?!";1095
Цитата #11009; 18 января 2010 ;xxx: Я, конечно, девушка от компов далекая, но жесткий диск от винчестера отличить смогу!;1093
Цитата #16939; 1 ноября 2010 ;"xxx: Сижу на работе, через удаленный доступ качаю дома ноутом торренты. После обеда обнаруживаю, что температура выросла градусов на 10 и держится. Закрадываются подозрения.xxx: Включаю скайп - так и есть, эта сука валяется на теплом ноуте еще и хвостом перед камерой периодически машет! Беру микрофон, записываю wav с названием ""Свалилнахуйбля"", отправляю на ноут, громкость на максимум и запускаю.xxx: Не, ноут он не уронил, и матрицу не покоцал, только шнур сетевой выдернул, когда рванул. Придушу дома сволочь.";1087
Цитата #1160; 8 сентября 2008 ;"pin : гыы. притащил домой шредер. Сестре сказал что это ""сканер такой специальный"".pin : она второй день со мной не разговаривает: он сожрал вырезку про Наталию Орейро из журнала...";1077
Цитата #10796; 5 января 2010 ;zloy-zloy: мы с Алешей сегодня на иксбоксе рубились, потом в маке поели, потом ему новый телефон купили и два часа с горок в нескучном саду на жопах катались.zloy-zloy: у Алеши завтра день рожденияzloy-zloy: он мой дед. ему будет 81 год;1077
Цитата #16336; 8 октября 2010 ;Переписка по корпоративной почте в одной крупной фирме.Секретарь Настя: Уважаемые сотрудники! У нашего коллеги Михаила в понедельник день рождения, давайте скинемся ему на подарок! )))) Идеи подарков также приветствуются. Деньги приносить мне.Андрей: Настя, добрый день. Насколько я знаю, Михаил интересуется спортивными автомобилями. Предлагаю сброситься на Enzo, такой у него ещё нету.Секретарь Настя: Андрей, Идея отличная! Я правда в машинках не разбираюсь, но раз Вы советуете, то я согласна ))) Коллеги, нас в отделе 28 человек, если мы скинемся всего по 40 тысяч долларов, должно хватить.Иван: Друзья, Я с Мишей знаком не первый год, в его автопарке уже есть два Ferrari, вряд ли ему будет приятно получить третью. С другой стороны, у него есть маленькая дочь. Можем придумать что-то для неё, например Диснейленд.Секретарь Настя: Иван, вы знаете, я проверила, купить самый маленький дешевый Диснейленд в Новом Орлеане стоит от $7,000,000. Скинуться по триста тысяч долларов сейчас мы, конечно, можем, но до зарплаты осталось всего несколько дней, и не у всех есть такая карманная мелочь. Предлагаю, всё-таки, остановиться на машинке.Начальник: Хватит сотрудников баловать. Михаил - это тот новый уборщик? Подарите ему, как обычно, квартиру на Садовом и хватит. Конец обсуждения, работать.;1077
Цитата #11047; 21 января 2010 ;"suslik_ua: У меня вопрос к админу: почему на нашем форуме не банят за ""fuck you""?Nikolay: Иноязычный мат вроде как не наказуем. :-)suslik_ua: Тодi пiшов на хуй!";1063
Цитата #122; 26 ноября 2007 ;Shanty:Я как всегда.Лежим с ним такие в обнимку, он что-то начал говорить про то, что хочет шоколада.Я: Поцелуй меня в носик - он шоколадный.Он, поцеловав: Нет, он карамельный.Я: Поцелуй меня в губки - они шоколадные.Он, поцеловав: Нет, они медовые.Я: Поцелуй меня в глазик - он шоколадный.Пауза.Дикий ржач.;1059
Цитата #14892; 5 августа 2010 ;Общаюсь с родной сестрой, описываю свои боли в груди, тут выясняется, что она сейчас испытывает такие же. Рядом сидит её муж и резюмирует:- Вся партия бракованная!;1058
Цитата #189; 30 ноября 2007 ;Ситуация стандартная - Вася и Маша, любовь - морковь. И дабы не отморозить парню ту самую морковь, а дело было зимой, подруга привела его к себе домой, благо у неё своя отдельная комната. Конечно же родители Маши дома, спят, и не очень одобряют её увлечение корнеплодами до замужества. Втихаря, дабы не разбудить предков, провела она Василия в свою комнату, а сама, впредкушении будущих страстей, побежала в ванную, при этом, приказав ему сидеть тихо, без неё не включать свет и не высовываться.Сидит Василий в кромешной тьме и вдруг почувствовал что его клапан начинает сильно подпирать(т.е. очень захотел по большому), и вместо того что бы дождаться Машку и попроситься в туалет, он решил выйти из сложившейся ситуации другим, более верным, на его взгляд, решением. Нащупав в темноте что-то бумажное, оказавшееся в дальнейшем кулинарной книгой Машкиной мамы, Васёк судорожными движениями вырвал парочку листов, за долю секунды скинул свои портки и опорожнился на приготовленные листки, быстро привёл себя в порядок, схватил этот бумажный разнос с со своим г:м, подошёл к окну и всё это дело выкинул в форточку. Довольный собою Василий уселся в кресло ожидать Маху. И хоть как говорят : , Василия стал настораживать запах его г:на в комнате. Нащупав на рядом стоящем столе флакончик с жидкостью, в последствии оказавшийся , а я напоминаю, что было темно хоть глаз выколи, и будучи уверенным что это очередные духи Машки, Василий стал разбрызгивать содержимое по стенам комнаты, возле окна, на мебель, и для уверенности побрызгал себе на руки и обработал ими лицо. В этот момент заходит в комнату Машенька, включает свет и видит следующую картину: по среди комнаты, среди жуткого запаха го:на, стоит её Василий, всё лицо и руки зелёного цвета, стены в комнате в зеленый горошек, в окне, между рамами от форточки, где красовалась москитная сетка, до самого низу широкая полоса непонятного цвета заканчивающаяся остатками го:на и листочками с рецептами.От истерического смеха Машки прибежали предки, которых также долго не отпускали судороги.;1057
Цитата #16731; 22 октября 2010 ;xxx: Человек человеку волк, а зомби зомби зомби;1057
Цитата #17612; 5 декабря 2010 ;@lsd:Тут один товарищ интересный вопрос задал: 'Разговаривать с кошкой — это паранойя или ещё не совсем?'.@masai:Это не паранойя. Паранойя — это когда боишься при кошке лишнее сболтнуть.;1057
Цитата #7260; 19 октября 2009 ;"ххх: где прайс, хрен ленивый?ууу: Вы, Федор Андреевич, по-видимому, несколько заработались и не заметили, как Ваша манера общения с коллегами приобрела оттенок фамильярности, а я решительно отказываюсь сотрудничать с хамами и прошу Вас впредь быть сдержанней.ххх: Та фраза, которую Вы, Андрей Алексеевич, нашли фамильярной, была вызвана тем, что из-за отсутствия у нас актуального прейскуранта наш отдел не может выполнить львиную долю своих прямых обязанностей по внедрению новой услуги компании, и я лично нахожусь под огромным давлением со стороны моего прямого руководства, вынужденного оплачивать простой квалифицированных кадров. Так что я отнюдь не хам, которым Вы меня изволили аттестовать, а не более, чем добросовестный подчиненный, исполняющий приказ небезызвестного Вам, Павла Олеговича, сформулированный им следующим образом: ""Еби верстал, пока прайс не сдадут!""ххх: Поэтому нижайше прошу прислать нам готовый прейскурант в ближайшее время.ххх: Хрен, Вы, ленивый!";1054
Цитата #1050; 31 августа 2008 ;zanna: ты всегда такой: сначало скажешь, а потом подумаешь?starfolk: угуstarfolk: не всегда);1044
Цитата #819; 20 декабря 2007 ;Behemoth: все доработался)Katy: что такое?Behemoth: с утра хотел пропуск к охраннику прислонить...Katy:)Behemoth: ну он походу чтобы не травмировать мою психику жоским матом, глядя во впашвие глаза синяки под ними, не выспопавшийся вид прост решил пропищять и в сторону отойти))Katy:)))))));1043
Цитата #235; 30 ноября 2007 ;"- Простите, а что конкретно у Вас ""нихуя не работает хер знает сколько""?";1040
Цитата #11489; 12 февраля 2010 ;"XXX: Нам нужно на 20 компов поставить винду и кучу софта не вынося их и офиса. Причем чтоб завтра все работало.XXX: Наш одмин позвонил куда то и нам выделили специалиста.XXX: Приехал специалист - девочка лет 20.XXX: Первая фраза, глядя на нас: ""Кормить и трахать не надо - платите деньгами""";1039
Цитата #30704; 5 июня 2012 ;aaa: Девочки, а вот если бы вы оказались на необитаемом острове с мужчиной, кого бы вы выбрали?bbb: Я бы Джонни Деппа наверноеccc: не, я бы Паттинсона выбрала.ddd: А я бы выбрала симпатичного практикующего врача широкого профиля, увлекающегося охотой, рыбалкой и садоводством. А вы все умрёте.;1038
Цитата #17489; 29 ноября 2010 ;xxx: так вот, узнав, что я программист-компьютерщик, капитан задает мне вопрос, ошеломляющий меня абсолютно: на каких языках писать умеешь?xxx: я говорю, ну на разных там... делаю паузу...yyy: а он?xxx: он говорит: на таймс нью роман писать умеешь?xxx: более серьезного офицера я в армии не встречал;1031
Цитата #16400; 11 октября 2010 ;KOrsar45: приношу сегодня с работы чертежи схем приборов разных. Ставлю, значитца, их куда-то на стол и благополучно забываю, чтобы найти их уже ближе к ночи (уже после прогулки с друзьями и прочей культурной программы) и спокойно в тишине попариться над ними.KOrsar45: так шо ты думаешьKOrsar45: я чуть не обгадился, когда подошёл к столу, обнаружил там чертежи, а чертежи все изрисованы какой-то непонятной сатанинской хуйнёй! Линиями, разными буквами...KOrsar45: я думал, всё, Сатана приходил, записку оставил...KOrsar45: а это, блядь, деда.KOrsar45: этот строитель социализма, чтоб его, подумал, что это такая головоломка! Головоломка!KOrsar45: и он, блядь, разгадал её! РАЗГАДАЛ!;1024
Цитата #17301; 19 ноября 2010 ;Янка: Да что вы знаете о тяжелой музыке? У меня ребенок под перфоратор танцует.;1024
Цитата #15456; 1 сентября 2010 ;Разговор о том, как готовить шарлотку между девушками.x - Танюша, привет, подскажи пожалуйста рецепт шарлотки как вы готовитеy - стакан сахара, стакан муки и 3 яйца, яблоки нарезать на дно сковородкиx - а молока сколько?y - мы делаем без молокаx - нет а сколько егоy - откуда я знаю, мы без молока делаемx - а стакан это сколько?y - стакан это стаканx - а яйца какого диаметра должны бытьy - обычного, обычные куринные яйцаx - тесто должно быть жидким или густымy - жидкимx - а насколько жидким?y - чуть гуще чем на блиныx - а сковородка какого диаметра?y - да откуда я знаю какого, любая сковородкаx - ааа поняла, а потом закрыть крышкой и на открытый огонь да?y - как можно пирог тушить, его в духовку надоx - да??? а на сколько?y - на 25 минутx - аааа, понятно, а точно в духовку?y - ну если вы умеете тушить пироги, то пожалуйста тушитеx - Танюша, а яблоки надо будет сварить, перед тем как в пирог?y - ЗАЧЕМ ИХ ВАРИТЬ?, сырыеееее на сковородууууууx - а точно сырые?y - ДА, ДА, ДААААААААx - ой ладно, вроде разобралась, спасибо! ой, еще вопрос.....а молока то сколько?y - БЛЯЯЯЯЯЯЯЯЯЯ... Сходи купи пельмени...;1019
Цитата #14509; 18 июля 2010 ;ххх: да нет, ты просто не понимаешь всего. мы с ним с первого класса вместе учимся. в универ потом пошли в одну группу, в автошколу вместе. вместе работали... вместе собираемся в армию. у меня даже сын на него похож. он мой лучший друг! в его верности я даже не сомневаюсь..ххх: БЛЯТЬ! НА НЕГО ПОХОЖ МОЙ СЫН!!!!!!!;1015
Цитата #31487; 29 июня 2012 ;Lidie: Выпила на ночь валерьянки - всю ночь снились поцелуи с каким-то усатым мужиком. В следующий раз перед приемом валерьянки выкину нахер кота из спальни.;1012
Цитата #11332; 5 февраля 2010 ;ххх: ща мяукнула на кота, так он на меня так внимательно и серьёзно посмотрел, как на шизофреникаyyy: глупость видать сказала;1010
Цитата #13051; 5 мая 2010 ;xxx: Сегодня иду с работы, а мне черная кошка дорогу перебежала, а потом сразу в обратную сторонуxxx: Она отменила свое решение или удвоила эффект?...;1010
Цитата #15714; 13 сентября 2010 ;В - водитель трамвая, Д - маршрутный диспетчер.В: ОСА-1, ответьте 364-му.Д: слушаю, 364В: Я на остановке Белинского в сторону Куйбышева-Луначарского, у меня в салоне подозрительный пакетД: 364, оставайтесь на месте, ожидайте саперов. Внимание, водители, закрыто движение по Куйбышева от узла Цирк до Куйбышева-Луначарского в оба направления, ждем милицию.... буквально через минутуВ: ОСА-1, это 364-й, открывайте движение по Куйбышева, мы поехали.Д: А саперы были?В: Нет, никого не было, пассажиры выбросили пакет.Д: Как выбросили? А что в пакете-то было?В: А я не знаю, они его просто на дорогу выбросили.;1010
Цитата #16018; 28 сентября 2010 ;"fff: А что за заунывная унылая песня раньше крутили часто ещё в 90-х. баба поёт ""урын миё-мие о у о урын миё-мие оу ""lll: ""You're in the army now"". Школота, баба ему поет...";1010
Цитата #17860; 16 декабря 2010 ;xxx:Чашку каппучино, говорите. Я когда еще курила, стою как-то на улице, закуриваю сигарету, вдруг выруливает бомж, хлопает глазами и вещает:Бомж: Мадемуазель, не хотелось бы сильно обеспокоить вас своей неуместной просьбой, но не будете ли вы так любезны и не угостите ли старого бродягу лишней сигареткой, если таковая вдруг у вас найдется?Я: ааа, ээ, конечно, но у меня только женские...Божм: Да ебаный в рот мне блять похуй уж!Бомж: Э... в смысле... вы знаете... в это время суток мне уже все равно... да.;1009
Цитата #1112; 4 сентября 2008 ;X: Мась, что у тебя за статус такой...?Y: Мы разводимся (((X: Хуясеее....Лёнька знает об этом?Y: Ты мне сначала скажи, ты тоже играешь в этот ебучий СТАЛКЕР?X: ...X: ....А что?Y: Меня выписали из роддома и этот осел пошел и без меня получил свидетельство о рождении на сына.....Y: ....и?X: хули И? моего сына теперь зовут Вольф Сталкер Леонидович.....Y: o_O;1008
Цитата #1184; 8 сентября 2008 ;~¤La_SportivA¤~ (18:17:09 4/09/2008)только что, поставил на винампе опцию, типа поверх всех окон... так эта Сцука минут 5 боролась с Квипом за право находиться на вершине славы, чтоб на переднем плане быть!ояебу, скоро в президенты ломанутся...;1008
Цитата #16772; 25 октября 2010 ;xxx: Слушай, как Сереге в голову такие комбинации приходят, у нас весь офис в шоке?yyy: Эт че. Вот в детстве у нас во дворе была большая песочница, все в ней куличи лепили, и был мальчик, который все куличи с разбега пинал. Он был старше чуток, и ему никто ничего не говорил. Так Серега один раз принес из дома большое ведро, засыпал его песком, посередине вставил кирпич и сделал куличик (грех не пнуть). Мальчик сдерживать себя не стал и с разбега сломал себе пальцы.xxx: Опа.yyy: Пацан потом в гипсе хромал, а Серега над ним прикалывался, морально подавлял, понимаешь? О какая схема, о какая двухходовочка. И это в 6 лет. Так что дело за малым оставалось, вырасти и получить экономическое образование;1007
Цитата #14775; 30 июля 2010 ;"Наконец приучил любимую жену использовать кнопку ""печать"". Раньше она переписывала от руки табличку в двадцать пунктов из экселя. Аккуратно разлиновывала ее с помощью линейки, шла на склад, заполняла и затем переносила данные обратно в эксель. На мой вопрос: ""Почему ты не распечатываешь пустую табличку?"" отвечала ""Мне так удобнее"". Ну да Бог с ним, сегодня опять порадовала.Пишет смс:она: на какой адрес тебе прислать письмо? (у меня их три).я: На любойЧерез 30 минут смс:она: Получил письмо?я: нет, куда писала?она: Я его отправила сама себе. Зайди на мою почту в Яндексе. Логин и пароль знаешь. Письмо с пометкой ""для мужа""Ну что сказать... Я люблю эту женщину!";1000
Цитата #31743; 9 июля 2012 ;"xxx:Вчера с мыслями о том, что сдал сессию, бреду тихо домой. Поравнялся значит с какой то женщиной и мы собираемся переходить дорогу, но вдруг на горизонте появляется ещё одна дама бальзаковского возраста с криками ""Любаша, сколько лет, сколько зим!"". Обнимает ту даму и начинает целовать меня с возгласами ""Максимка, как ты вырос!""Ох уж это неловкое чувство, когда ты не Максимка и вообще просто мимо проходил...";1000
Цитата #20104; 31 марта 2011 ;"Сижу, пью пиво в компании. Напротив сидит знакомая девушка, которая резко подрывается и срывает с моей правой ноги тапок.Говорит ""странно"" и, словив мой ошалевший взгляд, говорит: ""Я думала, что ты тапки натянул из-за того, что у тебя носки рваные"".Все улыбаются, я смотрю на нее со снисходительной улыбкой, а сам думаю ""Хоть бы она левый тапок не догадалась снять!""";995
Цитата #16553; 15 октября 2010 ;PaRaNoY@На днях ждал свою девушку с института. Пока ждал она попросила сходить в Линию купить туалетную бумагу, рулонов 5.Прихожу в Линию, беру из большой упаковки 4 последние рулона и иду на кассу. на кассе стоит мужик с бабой, 2 битком набитые тележки. Ну решил быстренько проскочить без очереди. Подхожу к мужику прошу пропустить меня. говорю мне быстро. Не пропускает. Стою жду. Тут по привычке решил прохрустеть позвоночник(у меня спина болит, а как хрустну так легчает) И когда хрустел мне нерв зажало и я получается хватаюсь за живот и на лице гримаса боли отчаянья и ужаса. Мужик смотрит на меня, потом на бумагу, багровеет и изрекает: парень, ну ты это... Чего мучаешься та так, иди в перед. Раз такое дело....;984
Цитата #10869; 11 января 2010 ;Darkast: если будешь следовать, моим советам, то трахнешь её за месяц.Ostrich: Да ты еще не понял. Я же хочу настоящих серьезных отношений. Прям на всю жизнь!Darkast: не вопрос. но трахаться тебе все равно придется.;981
Цитата #24; 25 ноября 2007 ;"имена имеют только бывшие парни... а нынешние - они ""любимый"", ""муж"", етсу мужиков обычно наоборотимена имеют только текущие, а прошлые - ""сука"", ""животное"", ""дура"" етс";979
Цитата #32197; 27 июля 2012 ;xxx: Сегодня директора вызывают к себе в кабинет нашего сисадмина.xxx: Заходит он к ним, через минуту вылетает оттуда с воплями на весь этаж - Ахуели совсем, танки у них тормозят!!!;977
Цитата #16057; 30 сентября 2010 ;xxx: Я даже не представляю, что должен сделать мой сын, что бы я ему сказал, что в молодости я себе такого не позволял.;973
Цитата #9793; 9 ноября 2009 ;xxx: Аня, у тебя есть сиськи?yyy: Да! Больше чем у Семенович!xxx: Три?;970
Цитата #19437; 28 февраля 2011 ;"Учредитель поставил мне(гендиру) в соцнагрузку своего племянника в роли коммерческого директора. Парень на первом же собрании объявил себя вождем фирмы, объяснил работникам что он умнее, круче и вообще лучше всех присутствующих. На следующий день мои талантливые дизайнеры сделали ему визитки с должностью ""камерческий директор"", коие он уже месяц раздает на важных встречах.";969
Цитата #16245; 6 октября 2010 ;xxx: водитель в Росси должен уметь обруливать ямы, уворачиваться от обруливающих ямы, от лихачей, пешеходов и долбоёбов...;968
Цитата #32627; 14 августа 2012 ;Ночью потек бочек унитаза, звук был такой, как будто там кот воду лакает. Я с полной уверенностью что так оно и есть, сажусь на кровати, и начинаю кричать коту чтоб прекратил это дело, ибо мешает спать! И тут боковым зрением вижу кота, который сидит рядом и удивленно наблюдает за моими действиями. В эту секунду вся моя логика рухнула, и наступил ужас! :) Залезаю под одеяло, требую что бы муж сходил и посмотрел что там, он смотрит на меняя не менее испугано и говорит: Я не пойду! Я не хочу чтоб на меня напало то, что там лакает!!!;966
Цитата #12767; 21 апреля 2010 ;xxx: В офисе довольно шумно: музыка, разговоры, ксероксы, телефоны, ремонт этажом ниже... решил поискать в инете шумозащитные наушники. Чтоб одел на уши - и тишинааааа... Нашел интересующую модель на сайте оружейного магазина. Сайт интересный, решил полазить. Когда рассматривал понравившуюся модель двустволки - за спиной стало на удивление тихо, даже по телефону шепотом заговорили...xxx: а наушники ли мне нужны?;959
Цитата #1114; 5 сентября 2008 ;"С форума о сталкереххх: в игре хотелось бы увидеть транспорт хоть какойтотипа велосипеда))ууу: Сталкер в экзоскелете и на ""Аисте"" - это нечто бОльшее, чем просто жесть.";957
Цитата #14333; 12 июля 2010 ;myiworm: У меня кот однажды так же охотился на голубя, крался, крался и на пол–пути уснул.;957
Цитата #13948; 21 июня 2010 ;RazieL_x3: я у тебя пакет с сосиськами забыл (hoop: да, cпасибо;950
Цитата #19916; 24 марта 2011 ;Меняли другу на машине тормозные диски. Гараж состоит из множества боксов. Приезжает ауди а8, заезжает в свой бокс. Выходит из машины мужчина, лет 30-35, ставит машину на сигналку, выходя из бокса нажимает кнопочку, автоматические ворота закрываются, гаснет свет в боксе. Мужчина неспеша выходит из гаража. Следующие минут 15-20 мы работаем. Тут хозяин ауди бегом бежит обратно, на бегу открывает ворота, снимает машину с сигнализации, открывает машину, забирает из машины ДОЧЬ, закрывает машину, ворота бокса, выходит из гаража, держа дочь за руку.А девочка спокойная, видимо уже не в первой.;947
Цитата #17701; 9 декабря 2010 ;Maxim1905: День добрый! У меня вопрос можно Легенду подключить в ноутбуку через блютус и писать инет через нее через GPRS? Кто нибудь пробовать, есть такая возможность?ska_romash: Пока читать сообщение твоё, моя обрезать орган мозг и топтать и топтать его, пока читать ваша сообщение ещё раз.ska_romash: Простите, не выдержал.;943
